episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/av,policy_reward_max/av,policy_reward_mean/av,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
-129.50654455879885,-172.31661386175935,-151.3063635213418,200.0,63,12600,False,12600,63,1,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_12-58-01,1606289281,139.17077088356018,139.17077088356018,3597,Rambo,192.168.1.15,139.17077088356018,12600,1,5,645d8de6,0,-28.719435643626607,-21.58442409313319,-25.217727253556973,36.42485074867051,7.471189829320602,1.7884868487321184,75520,12600,121165.05,187.908,16009.152,1653.284,62.767839195979896,60.041708542713565,0.20000000298023224,4.999999873689376e-05,1.5315924,-0.0004110791,1.5319178,-0.00020645109,0.00042813335,1.4201678,0.0
-131.4522057922353,-173.32495169768512,-152.79843974331766,200.0,63,12600,False,25200,126,2,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-00-14,1606289414,132.304425239563,271.47519612312317,3597,Rambo,192.168.1.15,271.47519612312317,25200,2,5,645d8de6,0,-28.887491949614148,-21.908700965372574,-25.46640662388626,36.42022684900518,7.44670782620724,1.771728593288505,151040,25200,119290.945,114.709,15411.229,830.644,62.993121693121694,62.898941798941806,0.10000000149011612,4.999999873689376e-05,3.9071455,-0.00047955976,3.9075365,-5.5198952e-06,0.0008835659,1.4313661,0.0
-130.72752990482832,-172.10778475480993,-153.26887022166568,200.0,63,12600,False,37800,189,3,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-02-22,1606289542,128.51758456230164,399.9927806854248,3597,Rambo,192.168.1.15,399.9927806854248,37800,3,5,645d8de6,0,-28.684630792468354,-21.78792165080472,-25.544811703610932,35.998642747518154,7.434709054695222,1.7352142528258572,226560,37800,117583.718,87.313,15035.244,556.466,59.924043715847006,60.00765027322403,0.05000000074505806,4.999999873689376e-05,6.900636,-0.0007226875,6.901292,-2.07606e-07,0.0013510959,1.4279773,0.0
-130.72752990482832,-172.51938251690441,-152.50295614752542,200.0,63,12600,False,50400,252,4,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-04-33,1606289673,130.2143247127533,530.2071053981781,3597,Rambo,192.168.1.15,530.2071053981781,50400,4,5,645d8de6,0,-28.753230419484012,-21.78792165080472,-25.4171593579209,35.72138101765819,7.4217378805055185,1.7153594640581427,302080,50400,117074.287,73.609,14927.194,419.265,62.53225806451613,63.36021505376344,0.02500000037252903,4.999999873689376e-05,9.830625,-0.00096490234,9.831521,1.1112731e-09,0.002717333,1.4000592,0.0
-132.07111774737223,-174.59185231839257,-153.67316564651793,200.0,63,12600,False,63000,315,5,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-06-46,1606289806,132.96111607551575,663.1682214736938,3597,Rambo,192.168.1.15,663.1682214736938,63000,5,5,645d8de6,0,-29.098642053065408,-22.011852957895453,-25.61219427441966,35.79623201717065,7.424352030843928,1.720753014153045,377600,63000,117383.807,65.584,14795.689,337.304,64.49210526315791,65.36052631578949,0.012500000186264515,4.999999873689376e-05,10.939744,-0.0011016371,10.940808,0.14735118,0.0030267697,1.386076,0.0
-132.65512386026776,-178.07785794700007,-157.1120121065062,200.0,63,12600,False,75600,378,6,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-08-54,1606289934,127.99804496765137,791.1662664413452,3597,Rambo,192.168.1.15,791.1662664413452,75600,6,5,645d8de6,0,-29.679642991166823,-22.109187310044568,-26.185335351084362,35.74215405584161,7.427999632768456,1.7159871400943945,453120,75600,116771.312,59.922,14699.977,282.943,60.69230769230769,65.58186813186813,0.0062500000931322575,4.999999873689376e-05,12.777312,-0.0007810281,12.778079,0.25666565,0.0024276944,1.3814877,0.0
-138.18894721231297,-187.35508454988639,-159.21855055059538,200.0,63,12600,False,88200,441,7,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-11-02,1606290062,127.98532629013062,919.1515927314758,3597,Rambo,192.168.1.15,919.1515927314758,88200,7,5,645d8de6,0,-31.225847424981232,-23.03149120205209,-26.536425091765906,35.551370000357856,7.420261668294939,1.7038529129308275,528640,88200,116286.47,55.91,14677.698,243.53,60.4120218579235,65.57650273224044,0.0031250000465661287,4.999999873689376e-05,14.17262,-0.0012330571,14.173843,0.31337392,0.0033110525,1.379517,0.0
-138.83704225422755,-187.35508454988639,-157.19404910797581,200.0,63,12600,False,100800,504,8,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-13-13,1606290193,131.49937057495117,1050.650963306427,3597,Rambo,192.168.1.15,1050.650963306427,100800,8,5,645d8de6,0,-31.225847424981232,-23.139507042371225,-26.199008184662645,35.53693663457229,7.416435127801826,1.702485393911992,604160,100800,116323.347,52.995,14699.381,214.035,63.150267379679136,65.47165775401069,0.0015625000232830644,4.999999873689376e-05,14.6562,-0.0008993292,14.657091,0.3686333,0.0045166602,1.3549834,0.0
-129.7589327581568,-177.2891581920269,-154.82925971119633,200.0,63,12600,False,113400,567,9,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-15-24,1606290324,130.68559646606445,1181.3365597724915,3597,Rambo,192.168.1.15,1181.3365597724915,113400,9,5,645d8de6,0,-29.54819303200451,-21.626488793026134,-25.80487661853273,35.54789415391497,7.418407241118182,1.7032692383451289,679680,113400,116331.056,50.627,14646.983,191.245,62.47219251336898,65.51764705882354,0.0007812500116415322,4.999999873689376e-05,15.448798,-0.0013149017,15.45011,0.3863506,0.0036178892,1.3479568,0.0
-131.86220149620567,-182.984786861226,-153.2746824554368,200.0,63,12600,False,126000,630,10,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-17-32,1606290452,127.83303117752075,1309.1695909500122,3597,Rambo,192.168.1.15,1309.1695909500122,126000,10,5,645d8de6,0,-30.497464476870938,-21.977033582701033,-25.545780409239477,35.487656217423265,7.414405954875992,1.6990876584795023,755200,126000,116020.722,48.755,14636.041,172.898,60.71538461538461,65.55549450549452,0.0003906250058207661,4.999999873689376e-05,14.84663,-0.0013111554,14.8479395,0.43976793,0.0038047305,1.3459179,0.0
-132.319081657889,-174.3563614331365,-149.93073764633385,200.0,63,12600,False,138600,693,11,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-19-40,1606290580,128.2328691482544,1437.4024600982666,3597,Rambo,192.168.1.15,1437.4024600982666,138600,11,5,645d8de6,0,-29.05939357218935,-22.05318027631478,-24.98845627438897,35.40668827768864,7.409693133421046,1.6939495821417716,830720,138600,115267.556,33.13,14488.442,8.492,60.61857923497268,65.59071038251368,0.00019531250291038305,4.999999873689376e-05,14.282839,-0.0010220465,14.283862,0.4734104,0.0026045786,1.3498685,0.0
-126.21967431755236,-174.94898276118494,-146.45840722664346,200.0,63,12600,False,151200,756,12,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-21-47,1606290707,127.33172583580017,1564.7341859340668,3597,Rambo,192.168.1.15,1564.7341859340668,151200,12,5,645d8de6,0,-29.15816379353084,-21.03661238625878,-24.40973453777391,35.334453383997385,7.404070415959857,1.689462133559323,906240,151200,114825.589,32.242,14433.798,8.641,60.4967032967033,65.65274725274725,9.765625145519152e-05,4.999999873689376e-05,13.994364,-0.0016242282,13.995988,0.48979157,0.0040706107,1.3390025,0.0
-123.72537478411327,-174.94898276118494,-142.99330345721023,200.0,63,12600,False,163800,819,13,07a6ad50674f4cfa9c5a21363044c8c2,2020-11-25_13-23-56,1606290836,128.88044667243958,1693.6146326065063,3597,Rambo,192.168.1.15,1693.6146326065063,163800,13,5,645d8de6,0,-29.15816379353084,-20.6208957973522,-23.832217242868374,35.291960039227995,7.401175514981844,1.6873819463977346,981760,163800,114867.601,32.186,14428.009,8.737,61.55434782608695,65.75652173913043,4.882812572759576e-05,4.999999873689376e-05,13.287854,-0.0014365934,13.289291,0.48720598,0.0046828953,1.3191882,0.0
