episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/av,policy_reward_max/av,policy_reward_mean/av,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
-337.54444403859685,-408.36227770976154,-372.6120069535428,400.0,61,25200,False,25200,61,1,7a936d517899405a96e292ef5590dd55,2020-11-30_09-48-23,1606709903,326.6429691314697,326.6429691314697,3154,Rambo,192.168.1.15,326.6429691314697,25200,1,5,4d4910e0,0,-45.37358641219573,-37.504938226510845,-41.401334105949196,50.34356548387862,4.924259586169438,1.5561429535166047,226688,25200,293092.294,345.525,31926.344,988.35,67.43683083511777,86.73276231263382,0.20000000298023224,4.999999873689376e-05,0.7409621,-0.00064903335,0.7413314,0.06832776,0.001398327,1.4162084,0.0
-319.00160179583963,-409.63620487267167,-367.828588421461,400.0,65,25200,False,50400,126,2,7a936d517899405a96e292ef5590dd55,2020-11-30_09-54-29,1606710269,366.58397936820984,693.2269484996796,3154,Rambo,192.168.1.15,693.2269484996796,50400,2,5,4d4910e0,0,-45.51513387474103,-35.444622421759966,-40.86984315794014,53.00135195219542,4.965559947092981,1.6252701330736465,453376,50400,312319.016,250.221,33327.24,498.648,70.71800766283525,90.32298850574712,0.10000000149011612,4.999999873689376e-05,1.4532464,-0.00072467234,1.4537859,0.12268885,0.0018513115,1.4201403,0.0
-316.5020199523348,-402.0061147316888,-359.29500820585184,400.0,61,25200,False,75600,187,3,7a936d517899405a96e292ef5590dd55,2020-11-30_10-00-50,1606710650,380.0270986557007,1073.2540471553802,3154,Rambo,192.168.1.15,1073.2540471553802,75600,3,5,4d4910e0,0,-44.66734608129892,-35.166891105815225,-39.92166757842797,55.563972237954516,5.005223129491976,1.6940842655382828,680064,75600,323431.951,208.931,33610.126,334.24,71.72656826568266,90.78321033210332,0.05000000074505806,4.999999873689376e-05,2.322252,-0.0007078066,2.3228343,0.16831747,0.002516526,1.4071885,0.0
-316.5020199523348,-391.2164989787304,-349.50323210046935,400.0,65,25200,False,100800,252,4,7a936d517899405a96e292ef5590dd55,2020-11-30_10-07-13,1606711033,383.7832670211792,1457.0373141765594,3154,Rambo,192.168.1.15,1457.0373141765594,100800,4,5,4d4910e0,0,-43.468499886525635,-35.166891105815225,-38.833692455607704,57.07727840939404,5.055399901104153,1.7370786263304216,906752,100800,329735.002,204.394,33923.644,252.457,71.84671532846716,90.74142335766425,0.02500000037252903,4.999999873689376e-05,3.4758472,-0.00074623537,3.4765308,0.17724764,0.0025051676,1.4101951,0.0
-307.665719246653,-384.65100681321206,-338.70250883965855,400.0,61,25200,False,126000,313,5,7a936d517899405a96e292ef5590dd55,2020-11-30_10-13-33,1606711413,379.46732926368713,1836.5046434402466,3154,Rambo,192.168.1.15,1836.5046434402466,126000,5,5,4d4910e0,0,-42.739000757023874,-34.185079916295095,-37.633612093295376,57.80431953033476,5.0600389801169685,1.756101955513563,1133440,126000,332327.116,198.175,34442.126,203.77,70.43974121996303,88.97707948243992,0.012500000186264515,4.999999873689376e-05,4.2344813,-0.0004029127,4.234851,0.21169111,0.0026865469,1.389182,0.0
-307.3341681438975,-364.8313296018018,-334.46120162981026,400.0,65,25200,False,151200,378,6,7a936d517899405a96e292ef5590dd55,2020-11-30_10-19-43,1606711783,370.347354888916,2206.8519983291626,3154,Rambo,192.168.1.15,2206.8519983291626,151200,6,5,4d4910e0,0,-40.53681440020068,-34.14824090487757,-37.162355736645566,58.123367619597886,5.065896460796926,1.7604193645653115,1360128,151200,333490.621,192.064,33836.315,171.233,69.30530303030302,87.09924242424243,0.0062500000931322575,4.999999873689376e-05,5.498005,-0.00061815087,5.498603,0.19728065,0.0031440142,1.36869,0.0
-296.37788165963656,-364.8313296018018,-328.70164919427896,400.0,61,25200,False,176400,439,7,7a936d517899405a96e292ef5590dd55,2020-11-30_10-25-38,1606712138,355.1791367530823,2562.031135082245,3154,Rambo,192.168.1.15,2562.031135082245,176400,7,5,4d4910e0,0,-40.53681440020068,-32.93087573995968,-36.522405466031,58.03181363757716,5.0491129757121005,1.7513195861355983,1586816,176400,331833.995,192.131,33721.264,147.529,65.76607495069032,86.61854043392505,0.0031250000465661287,4.999999873689376e-05,6.1575723,-0.0004003666,6.1579647,0.21751861,0.0024164289,1.3597211,0.0
-296.37788165963656,-367.38609321080315,-328.0199518659815,400.0,64,25200,False,201600,503,8,7a936d517899405a96e292ef5590dd55,2020-11-30_10-31-29,1606712489,350.4184274673462,2912.449562549591,3154,Rambo,192.168.1.15,2912.449562549591,201600,8,5,4d4910e0,0,-40.8206770234226,-32.93087573995968,-36.446661318442395,57.73955976361489,5.033729186916406,1.735269418786291,1813504,201600,330062.506,185.718,33572.972,129.905,65.40961923847696,86.10000000000001,0.0015625000232830644,4.999999873689376e-05,7.460927,-0.00078218215,7.4617033,0.20881885,0.0036077695,1.3637888,0.0
-291.6311171251558,-367.38609321080315,-326.23011134549284,400.0,63,25200,False,226800,566,9,7a936d517899405a96e292ef5590dd55,2020-11-30_10-37-21,1606712841,351.75820875167847,3264.2077713012695,3154,Rambo,192.168.1.15,3264.2077713012695,226800,9,5,4d4910e0,0,-40.8206770234226,-32.40345745835061,-36.24779014949921,57.46359603195037,5.027398065207999,1.7214052230338113,2040192,226800,328863.861,179.964,33429.803,116.43,65.54701195219123,86.44561752988047,0.0007812500116415322,4.999999873689376e-05,8.166876,-0.00059667527,8.16747,0.20608519,0.0028982114,1.34752,0.0
-293.0439493808809,-353.25888983008605,-319.6133762106631,400.0,63,25200,False,252000,629,10,7a936d517899405a96e292ef5590dd55,2020-11-30_10-43-12,1606713192,351.2225151062012,3615.4302864074707,3154,Rambo,192.168.1.15,3615.4302864074707,252000,10,5,4d4910e0,0,-39.25098775889842,-32.560438820098135,-35.51259735674034,57.29041326589732,5.012795324843262,1.712153299311665,2266880,252000,327861.496,174.391,33306.425,105.387,65.47345309381237,86.64111776447106,0.0003906250058207661,4.999999873689376e-05,8.890131,-0.00076158514,8.890891,0.20609912,0.0038561372,1.3181496,0.0
