episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-330.6473377111229,-407.73357499506807,-358.2715585105836,400.0,61,25200,False,277200,691,11,774b24d199954f7685399f3f1314ee19,2020-12-01_02-00-00,1606768200,215.9176468849182,2374.982246398926,9587,Rambo,192.168.1.15,2374.982246398926,277200,11,5,42ffd60e,0,35.341379343325286,3.644584528897292,1.825641834634174,275968,277200,212654.705,110.731,5759.565,8.838,73.29902597402597,62.57564935064935,0.0062500000931322575,4.999999873689376e-05,493.9249,-0.013221529,493.93805,-3.0410534e-09,0.010770269,12.5247755,0.0
-308.79338879572,-407.73357499506807,-355.3551615230451,400.0,65,25200,False,302400,756,12,774b24d199954f7685399f3f1314ee19,2020-12-01_02-03-16,1606768396,195.33322668075562,2570.3154730796814,9587,Rambo,192.168.1.15,2570.3154730796814,302400,12,5,42ffd60e,0,35.21143994516565,3.6380493877623588,1.8126595528275857,301056,302400,211085.542,116.09,5718.473,8.74,66.31654676258992,62.72805755395684,0.0062500000931322575,4.999999873689376e-05,477.6262,-0.014341709,477.64047,-6.0821065e-10,0.01296596,12.454047,0.0
-316.9053408828187,-391.77461781547805,-354.7358755733014,400.0,61,25200,False,327600,817,13,774b24d199954f7685399f3f1314ee19,2020-12-01_02-06-31,1606768591,195.3127224445343,2765.6281955242157,9587,Rambo,192.168.1.15,2765.6281955242157,327600,13,5,42ffd60e,0,34.98601560391226,3.624867179379763,1.7945586379382947,326144,327600,208735.632,117.471,5362.933,8.299,65.89784946236558,62.76451612903225,0.0062500000931322575,4.999999873689376e-05,479.83856,-0.012475765,479.85092,-8.210844e-09,0.010826235,12.41611,0.0
-305.6980670748826,-397.1783425245664,-351.46739149363253,400.0,65,25200,False,352800,882,14,774b24d199954f7685399f3f1314ee19,2020-12-01_02-09-47,1606768787,195.59261631965637,2961.220811843872,9587,Rambo,192.168.1.15,2961.220811843872,352800,14,5,42ffd60e,0,34.77679657773168,3.615292399151497,1.7780794255890293,351232,352800,207981.82,114.849,5143.256,7.748,65.8483870967742,62.993189964157715,0.0062500000931322575,4.999999873689376e-05,465.5622,-0.01363599,465.57574,-1.5205267e-09,0.013493987,12.346839,0.0
-317.04204544695983,-393.50452327268897,-351.982581117093,400.0,61,25200,False,378000,943,15,774b24d199954f7685399f3f1314ee19,2020-12-01_02-13-02,1606768982,195.25994038581848,3156.4807522296906,9587,Rambo,192.168.1.15,3156.4807522296906,378000,15,5,42ffd60e,0,34.619453958126925,3.603410594347756,1.7653981192577752,376320,378000,205984.186,110.659,4777.296,7.319,66.03512544802867,63.159856630824365,0.0062500000931322575,4.999999873689376e-05,474.03882,-0.013554544,474.0523,-9.12316e-09,0.011447386,12.270224,0.0
-312.1165356030165,-393.50452327268897,-349.35903828770824,400.0,65,25200,False,403200,1008,16,774b24d199954f7685399f3f1314ee19,2020-12-01_02-16-15,1606769175,193.4195408821106,3349.900293111801,9587,Rambo,192.168.1.15,3349.900293111801,403200,16,5,42ffd60e,0,34.44902449896405,3.59661382871979,1.7519202236636304,401408,403200,203947.942,114.76,4467.119,6.872,65.92545454545454,63.35745454545456,0.0062500000931322575,4.999999873689376e-05,474.40237,-0.013477153,474.41574,-1.3380634e-08,0.012649612,12.17826,0.0
-312.1165356030165,-405.3757183325919,-348.950988763283,400.0,61,25200,False,428400,1069,17,774b24d199954f7685399f3f1314ee19,2020-12-01_02-19-31,1606769371,195.79286003112793,3545.693153142929,9587,Rambo,192.168.1.15,3545.693153142929,428400,17,5,42ffd60e,0,34.304929133914456,3.5878520384016146,1.7409983761182468,426496,428400,200065.833,115.414,4381.851,6.329,65.44142857142857,63.517142857142865,0.0062500000931322575,4.999999873689376e-05,477.97177,-0.015396787,477.9871,0.0,0.014492682,12.100985,0.0
-313.88108242838183,-375.65798166497626,-347.50907162601396,400.0,65,25200,False,453600,1134,18,774b24d199954f7685399f3f1314ee19,2020-12-01_02-22-45,1606769565,194.17986536026,3739.873018503189,9587,Rambo,192.168.1.15,3739.873018503189,453600,18,5,42ffd60e,0,34.15671838973317,3.5822933994321433,1.7299644209650342,451584,453600,197843.1,119.261,4180.891,5.797,65.51841155234656,63.70613718411552,0.0062500000931322575,4.999999873689376e-05,476.015,-0.013339761,476.0283,-1.3380634e-08,0.013294314,12.058025,0.0
-318.5982632719777,-379.14440520069246,-348.636607910115,400.0,61,25200,False,478800,1195,19,774b24d199954f7685399f3f1314ee19,2020-12-01_02-26-00,1606769760,194.2751235961914,3934.1481420993805,9587,Rambo,192.168.1.15,3934.1481420993805,478800,19,5,42ffd60e,0,34.03700679598047,3.57498593140136,1.7210523968850884,476672,478800,195368.114,119.498,3984.068,5.109,65.74404332129964,63.898194945848374,0.0062500000931322575,4.999999873689376e-05,488.76288,-0.012112264,488.77496,-8.51495e-09,0.012059168,11.928057,0.0
-316.20711448989573,-381.7579179338365,-345.36966266789705,400.0,65,25200,False,504000,1260,20,774b24d199954f7685399f3f1314ee19,2020-12-01_02-29-11,1606769951,191.6200602054596,4125.76820230484,9587,Rambo,192.168.1.15,4125.76820230484,504000,20,5,42ffd60e,0,33.921775609641216,3.571023958798564,1.7121572863270023,501760,504000,192926.854,114.913,3613.406,4.636,66.1117216117216,64.07985347985348,0.0062500000931322575,4.999999873689376e-05,482.3935,-0.011839188,482.4052,-2.736948e-09,0.012141336,11.756961,0.0
